16301858,,14.4,"Service",,,,"Nantong",,,"TSL Group","Y","01-Feb-2021",,,,"Jiangsu Hantong HI","Hantong Group",,,,,,"Fitted",,,,,4,,"2 x Aux. Diesel Gen. - Daihatsu 6DK-20 - 4-stroke 6-cyl. 200mm x 300mm bore/stroke 2,080mkW total at 900rpm driving 2 x Siemens Energy 1FC2 563-3SB83 - ac generator(s) at 1,440ekW total, (1,800kVA total) 450V at 60Hz, 1 x Aux. Diesel Gen. - Daihatsu 5DK-20 - 4-stroke 5-cyl. 200mm x 300mm bore/stroke 800mkW total at 900rpm driving 1 x Siemens Energy 1FC5 504-8TA83 - ac generator(s) at 600ekW total, (750kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical)",,,,22.96,18.26
16301874,,13.5,"Service",,"D","Y","Nantong",,,"WW Group",,"01-Mar-2018",,,"Conveyor","Jiangsu Hantong HI","Hantong Group",,,,,"Y","Fitted",,,,"FILTRATION - OXIDATION (ELECTROCATALYSIS) -  ULTRASOUND",,,"2 x Aux. Diesel Gen. - HHI-EMD (HiMSEN) 9H21/32 - 4-stroke 9-cyl. 210mm x 320mm bore/stroke 3,960mkW total at 900rpm driving 2 x Hyundai Electric ac generator(s) at 3,762ekW total, (4,702kVA total) 450V at 60Hz, 1 x Aux. Diesel Gen. - HHI-EMD (HiMSEN) 6H21/32 - 4-stroke 6-cyl. 210mm x 320mm bore/stroke 1,320mkW total at 900rpm driving 1 x Hyundai Electric HFC7 568-8P - ac generator(s) at 1,250ekW total, (1,562.50kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical) (Bronze), 80rpm"
16301887,,13.5,"Service",,"D","Y","Nantong",,,"WW Group",,"01-May-2018",,,"Conveyor","Jiangsu Hantong HI","Hantong Group",,,,,"Y","Fitted",,,,"FILTRATION - OXIDATION (ELECTROCATALYSIS) -  ULTRASOUND",,,"2 x Aux. Diesel Gen. - HHI-EMD (HiMSEN) 9H21/32 - 4-stroke 9-cyl. 210mm x 320mm bore/stroke 3,960mkW total at 900rpm driving 2 x Hyundai Electric ac generator(s) at 3,762ekW total, (4,702kVA total) 450V at 60Hz, 1 x Aux. Diesel Gen. - HHI-EMD (HiMSEN) 6H21/32 - 4-stroke 6-cyl. 210mm x 320mm bore/stroke 1,320mkW total at 900rpm driving 1 x Hyundai Electric HFC7 568-8P - ac generator(s) at 1,250ekW total, (1,563kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical) (Bronze), 80rpm"
16301890,,14,"Laden",,"Y",,"Nanjing",,,"Transocean Maritime",,"01-Apr-2015",,,,"CSC Jinling Shipyard","CSC Jinling Shipyard",,,,,,"Fitted",,,"15-Apr-2020","FILTRATION - DISINFECTION (INJECTION DISINFECTANT)",,,"3 x Aux. Diesel Gen. - Daihatsu 6DK-20 - 4-stroke 6-cyl. 200mm x 300mm bore/stroke 3,120mkW total at 900rpm driving 3 x generator(s)",,"1 x FP Propeller (Aft Centre) (mechanical)"
16301908,,14,"Laden",,"Y",,"Nanjing",,,"Transocean Maritime",,"01-Jun-2015",,,,"CSC Jinling Shipyard","CSC Jinling Shipyard",,,,,,"Fitted",,,"06-May-2020","FILTRATION - DISINFECTION (INJECTION DISINFECTANT)",,,"3 x Aux. Diesel Gen. - Daihatsu 6DK-20 - 4-stroke 6-cyl. 200mm x 300mm bore/stroke 3,120mkW total at 900rpm driving 3 x generator(s)",,"1 x FP Propeller (Aft Centre) (mechanical)"
16301911,,14,"Laden",,"Y",,"Nanjing",,,"Transocean Maritime",,"01-Sep-2015",,,,"CSC Jinling Shipyard","CSC Jinling Shipyard",,,,,,"Fitted",,,"17-Jun-2020","FILTRATION - DISINFECTION (INJECTION DISINFECTANT)",,,"3 x Aux. Diesel Gen. - Daihatsu 6DK-20 - 4-stroke 6-cyl. 200mm x 300mm bore/stroke 3,120mkW total at 900rpm driving 3 x generator(s)",,"1 x FP Propeller (Aft Centre) (mechanical)"
16301924,,14,"Laden",,"Y",,"Nanjing",,,"Transocean Maritime",,"01-Jan-2016",,,,"CSC Jinling Shipyard","CSC Jinling Shipyard",,,,,,"Fitted",,,"08-Dec-2020","FILTRATION - DISINFECTION (INJECTION DISINFECTANT)",,,"3 x Aux. Diesel Gen. - Daihatsu 6DK-20 - 4-stroke 6-cyl. 200mm x 300mm bore/stroke 3,120mkW total at 900rpm driving 3 x generator(s)",,"1 x FP Propeller (Aft Centre) (mechanical)"
16301940,"600798",,,,"D",,"Nanjing",,,"Zhejiang Energy",,"01-Nov-2016",,,,"CSC Jinling Shipyard","CSC Jinling Shipyard",,,,,,,,,,,,,,,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm"
16301953,"600798",,,,"D",,"Nanjing",,,"Zhejiang Energy",,"01-Jan-2017",,,,"CSC Jinling Shipyard","CSC Jinling Shipyard",,,,,,,,,,,,,,,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm"
16301966,"600798",13,"Service",,"D",,"Nanjing",,,"Zhejiang Energy",,"01-May-2017",,,,"CSC Jinling Shipyard","CSC Jinling Shipyard",,,,,,,,,,,,,,,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm"
16302026,,14,"Laden",,"M",,"Saikai",,,"Eastern Med","Y","01-Feb-2016",,,,"Oshima Shipbuilding","Oshima Shipbuilding",,,,,,"Fitted",,,"23-Jun-2021","ELECTROLYSIS (ELECTRO-CHLORINATION)",4,,"3 x Aux. Diesel Gen. - 4-stroke  driving 3 x AC generator(s)",,"1 x FP Propeller (Aft Centre) (mechanical), 99rpm",,,,22.32,18.6
16302039,"DNORD",14,"Laden",,"Y",,"Saikai",,,"Synergy Group",,"01-Mar-2019","Y","1C",,"Oshima Shipbuilding","Oshima Shipbuilding",,,,,"Y","Fitted",,,,"FILTRATION - ELECTROLYSIS (ELECTRO-CHLORINATION) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 185mm x 280mm bore/stroke 2,424mkW total at 900rpm driving 3 x ac generator(s) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 105rpm"
16302084,,14,"Laden",,"D",,"Kurashiki",,,"Bright Star Shpgmngt",,"01-Mar-2018",,,,"Sanoyas Shipbuilding","Sanoyas Shipbuilding",,,,,"Y","Fitted",,,,"FILTRATION - DISINFECTION (INJECTION DISINFECTANT) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 185mm x 280mm bore/stroke 2,424mkW total at 900rpm driving 3 x ac generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 87.60rpm"
16302097,,14,"Laden",,"D",,"Kurashiki",,,"Toshin Kisen",,"01-Sep-2018",,,,"Sanoyas Shipbuilding","Sanoyas Shipbuilding",,,,,"Y","Fitted",,,,"FILTRATION - DISINFECTION (INJECTION DISINFECTANT) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 185mm x 280mm bore/stroke 2,424mkW total at 900rpm driving 3 x ac generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 87.60rpm"
16302121,,12.3,"Service",,"Y",,"Taizhou",,,"Hongtai Shipping",,"01-Jan-2015","Y","B",,"Zhejiang Haichang SB","Zhejiang Haichang SB",,,,,,,,,,,,,,,"1 x FP Propeller (Aft Centre) (mechanical)"
16302334,,,,,"M",,"Zhoushan",,,"Synergy Group",,"01-Jan-2019",,,,"Tsuneishi Zhoushan","Tsuneishi Holdings",,,,,,"Fitted",,,,,,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x ac generator(s) at 2,250ekW total, (2,812.50kVA total) at 60Hz",,"1 x FP Propeller (Aft) (mechanical), 89rpm"
16302347,"03877",,,,"M",,"Zhoushan",,,"Erasmus Corp",,"01-Jun-2019",,,,"Tsuneishi Zhoushan","Tsuneishi Holdings",,,,,,"Fitted",,,,,,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x ac generator(s) 450V at 60Hz",,"1 x FP Propeller (Aft) (mechanical), 89rpm"
16302868,,15.8,"Service",,"M",,"Dalian",,,"Fairweather SS Co",,"01-Jul-2016",,,,"Dalian COSCO KHI","COSCO Shipping HI",,,,,,"Fitted",,,"03-Jul-2021",,,,"3 x Aux. Diesel Gen. - 4-stroke  driving 3 x AC generator(s) at 1,950ekW total, (2,437.50kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 117rpm"
16302963,,14.3,"Trial Speed",,"M",,"Taizhou",,,"Tamar Shipmnt",,"01-Feb-2015",,,,"Taizhou Maple Leaf","Maple Leaf Shipping",,,,,,"Fitted",,,,"ELECTROLYSIS (ELECTRO-CHLORINATION)",,,"3 x Aux. Diesel Gen. - Daihatsu 5DK-20e - 4-stroke 5-cyl. 200mm x 300mm bore/stroke 2,400mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), Changzhou Zhonghai, 114rpm, Ø5.80m"
16303081,"ALC",12,"Service","Y","D","Y","Rijeka",,,"Algoma Central Corp",,"01-Feb-2018",,,"Conveyor","3. Maj Brod.","3. Maj Brod.",,,,,"Y",,,,,,,,"3 x Aux. Diesel Gen. - Wartsila 4-stroke 6L20 - 4-stroke 6-cyl. 200mm x 280mm bore/stroke 3,330mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x CP Propeller (Aft Centre) (mechanical), Wartsila Propulsion"
16303094,"ALC",12,"Service","Y","D","Y","Rijeka",,,"Algoma Central Corp",,"01-Oct-2020",,,"Conveyor","3. Maj Brod.","3. Maj Brod.",,,,,"Y",,,,,,,,"3 x Aux. Diesel Gen. - Wartsila 4-stroke 6L20 - 4-stroke 6-cyl. 200mm x 280mm bore/stroke 3,330mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x CP Propeller (Aft Centre) (mechanical), Wartsila Propulsion"
16303128,,14.8,"Service",,"Y",,"Taizhou",,,"Yangpu Tongli",,"01-Jan-2015","Y","B",,"Zhejiang Hongxin","Zhejiang Hongxin",,,,,,,,,,,,,"2 x Aux. Diesel Gen. - Zichai Power Z6170ZLD-1 - 4-stroke 6-cyl. 170mm x 200mm bore/stroke 660mkW total at 1,000rpm driving 2 x AC generator(s) at 600ekW total, (750kVA total) 400V at 50Hz, 1 x Aux. Diesel Gen. - Nantong Diesel NT6135DR - 4-stroke 6-cyl. 135mm x 160mm bore/stroke 126mkW total at 1,500rpm driving 1 x AC generator(s) at 90ekW total, (112.50kVA total) 400V at 50Hz, 1 x Aux. Diesel Gen. - Nantong Diesel4-stroke 110mkW total at 1,500rpm driving 1 x AC generator(s) at 90ekW total, (112.50kVA total) 400V at 50Hz",,"1 x FP Propeller (Aft Centre) (mechanical), Ø5.05m"
16303131,,,,,"Y",,"Taizhou",,,"Hongdaxin Shpg",,"01-Feb-2015",,,,"Kaihang S.B. Ind. Co","Kaihang S.B. Ind. Co",,,,,,,,,,,,,,,"1 x FP Propeller (Aft Centre) (mechanical)"
16303186,,14.5,"Service",,"D",,"Nantong",,,"Fleet Management",,"01-Mar-2017",,,,"Nantong COSCO KHI","COSCO Shipping HI",,,,,,"Fitted",,,,"FILTRATION - OXIDATION (ELECTROCATALYSIS) -  ULTRASOUND",,,"3 x Aux. Diesel Gen. - 4-stroke  driving 3 x AC generator(s) at 1,800ekW total, (2,250kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical)"
16303449,,15.8,"Trial Speed",,"M",,"Tadotsu",,,"Anglo-Eastern Group",,"01-Sep-2015",,,,"Tadotsu Shipyard","Imabari Shipbuilding",,,,,,"Fitted",,,,"FILTRATION - DISINFECTION (INJECTION DISINFECTANT) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 185mm x 280mm bore/stroke 2,424mkW total at 900rpm driving 3 x ac generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical)"
16303452,,16.1,"Trial Speed",,"M",,"Tadotsu",,,"Abe Kisen",,"01-Oct-2015",,,,"Tadotsu Shipyard","Imabari Shipbuilding",,,,,"Y","Fitted",,,"23-Mar-2020",,,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 182mm x 280mm bore/stroke 2,424mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 108rpm"
16303465,,16,"Trial Speed",,"M",,"Tadotsu",,,"MUR Shipping BV",,"01-Jan-2016",,,,"Tadotsu Shipyard","Imabari Shipbuilding",,,,,,"Fitted",,,,"FILTRATION - DISINFECTION (INJECTION DISINFECTANT) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 182mm x 280mm bore/stroke 2,424mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 108rpm"
16303478,,15.9,"Trial Speed",,"M",,"Tadotsu",,,"Ehime Kaiun",,"01-Feb-2016",,,,"Tadotsu Shipyard","Imabari Shipbuilding",,,,,,"Fitted",,,,"FILTRATION - DISINFECTION (INJECTION DISINFECTANT) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 182mm x 280mm bore/stroke 2,424mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 108rpm"
16303481,,16.2,"Trial Speed",,"M",,"Tadotsu",,,"Synergy Group",,"01-Oct-2015",,,,"Tadotsu Shipyard","Imabari Shipbuilding",,,,,,"Fitted",,,,"FILTRATION - DISINFECTION (INJECTION DISINFECTANT) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 185mm x 280mm bore/stroke 2,424mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 89rpm"
16303502,,16.2,"Trial Speed",,"M",,"Tadotsu",,,"Century Tokyo",,"01-Aug-2015",,,,"Tadotsu Shipyard","Imabari Shipbuilding",,,,,,"Fitted",,,,"FILTRATION - DISINFECTION (INJECTION DISINFECTANT) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 185mm x 280mm bore/stroke 2,424mkW total at 900rpm driving 3 x ac generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 89rpm"
16303515,,15.15,"Design Speed",,"D",,"Tadotsu",,,"Laurel Ship Man",,"01-Oct-2019",,,,"Tadotsu Shipyard","Imabari Shipbuilding",,,,,,"Fitted",,,,"FILTRATION - DISINFECTION (INJECTION DISINFECTANT) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 185mm x 280mm bore/stroke 1,590mkW total at 900rpm driving 3 x Taiyo FE 541C-8 - ac generator(s) at 1,440ekW total, (1,800kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), Nakashima, 108rpm"
16303528,,15.9,"Trial Speed",,"M",,"Marugame",,,,,"01-Jun-2016",,,,"Imabari SB Marugame","Imabari Shipbuilding",,,,,,"Fitted",,,,"FILTRATION - DISINFECTION (INJECTION DISINFECTANT) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 185mm x 280mm bore/stroke 2,424mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 108rpm"
16303531,,13.8,"Laden",,"M",,"Tadotsu",,,"Chiba Shipping","Y","01-Mar-2016",,,,"Tadotsu Shipyard","Imabari Shipbuilding",,,,,,"Fitted",,,,"ELECTROLYSIS (ELECTRO-CHLORINATION)",4,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x ac generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 108rpm"
16303744,,12,"Eco-Speed - Laden",,"D",,"Taizhou",,,"Ahrenkiel Vogemann",,"30-Jul-2021",,,,"Taizhou Sanfu","Taizhou Sanfu",,,,,,"Fitted",,,,"FILTRATION - OXIDATION (ELECTROCATALYSIS) -  ULTRASOUND",,,"3 x Aux. Diesel Gen. - Daihatsu 6DK-20e - 4-stroke 6-cyl. 200mm x 300mm bore/stroke 2,400mkW total at 750rpm driving 3 x AC generator(s) at 2,280ekW total, (2,850kVA total) at 50Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 77rpm"
16303836,,,,,"D",,"Takamatsu",,,"New Spirit Line",,"01-Aug-2017",,,,"Shikoku Dock.","Mitsui Eng & SB",,,,,,"Fitted",,,,"ELECTROLYSIS (ELECTRO-CHLORINATION)",,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x AC generator(s) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 99rpm"
16303849,,13.7,"Laden",,"D",,"Takamatsu",,,"New Spirit Line",,"01-May-2018",,,,"Shikoku Dock.","Mitsui Eng & SB",,,,,,"Fitted",,,,"ELECTROLYSIS (ELECTRO-CHLORINATION)",,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x AC generator(s) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 99rpm"
16303878,,14.5,"Service",,"D",,"Dalian",,,"Fairweather SS Co",,"01-Jun-2017",,,,"Dalian COSCO KHI","COSCO Shipping HI",,,,,,"Fitted",,,,,,,"3 x Aux. Diesel Gen. - 4-stroke  driving 3 x Taiyo FE 547B-8 - AC generator(s) at 1,950ekW total, (2,651kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 108rpm"
16303931,,13.8,"Service",,"M",,"Ishinomaki",,,"Rana Denizcilik",,"01-Aug-2021",,,,"Yamanishi Zosen","Yamanishi Zosen",,,,,,"Fitted",,,,,,,,,"1 x FP Propeller (Aft Centre) (mechanical)"
16304046,,,,,"D",,"Imabari",,,"Dockendale Shipmgmt",,"01-May-2016",,,,"Imabari SB (Imabari)","Imabari Shipbuilding",,,,,,"Fitted",,,,"FILTRATION - ULTRAVIOLET",,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 1,650mkW total at 900rpm driving 3 x Taiyo FE 541C-8 - ac generator(s) at 1,440ekW total, (1,800kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical) (Bronze), Nakashima, 110rpm"
16304059,,,,,"M",,"Hakata",,,"Phelippe Barko Mgmt",,"01-Jun-2018",,,,"Shimanami Shipyard","Imabari Shipbuilding",,,,,,"Fitted",,,,,,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x ac generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical)"
16304062,,16,"Trial Speed",,"M",,"Marugame",,,"Fukujin Kisen",,"01-May-2016",,,,"Imabari SB Marugame","Imabari Shipbuilding",,,,,,"Fitted",,,"24-Mar-2021","FILTRATION - ELECTROLYSIS (ELECTRO-CHLORINATION) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x AC generator(s)",,"1 x FP Propeller (Aft Centre) (mechanical), 89rpm"
16304075,,16.4,"Trial Speed",,"M",,"Marugame",,,"Nippo Shipping Co",,"01-Jan-2017",,,,"Imabari SB Marugame","Imabari Shipbuilding",,,,,"Y","Fitted",,,,"FILTRATION - DISINFECTION (INJECTION DISINFECTANT) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x AC generator(s) at 2,250ekW total, (2,812.50kVA total) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical)"
16304088,,16.2,"Trial Speed",,"M",,"Marugame",,,"Chiba Shipping",,"01-May-2016",,,,"Imabari SB Marugame","Imabari Shipbuilding",,,,,,"Fitted",,,,"ELECTROLYSIS (ELECTRO-CHLORINATION)",,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x AC generator(s) at 2,250ekW total, (2,812.50kVA total) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 82rpm"
16304109,,16.4,"Trial Speed",,"M",,"Mihara",,,"ISM Ship",,"01-Sep-2016",,,,"Imabari SB Hiroshima","Imabari Shipbuilding",,,,,"Y","Fitted",,,,"FILTRATION - DISINFECTION (INJECTION DISINFECTANT) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 185mm x 280mm bore/stroke 2,424mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 85rpm"
16304112,,14.5,"Laden",,"M",,"Mihara",,,"Zodiac Maritime",,"01-Sep-2016",,,,"Imabari SB Hiroshima","Imabari Shipbuilding",,,,,,"Fitted",,,,"FILTRATION - DISINFECTION (INJECTION DISINFECTANT) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical)"
16304125,,16.3,"Trial Speed",,"M",,"Mihara",,,"Kowa Marine Service",,"01-Jul-2016",,,,"Imabari SB Hiroshima","Imabari Shipbuilding",,,,,"Y","Fitted",,,,"FILTRATION - DISINFECTION (INJECTION DISINFECTANT) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 185mm x 280mm bore/stroke 2,424mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical)"
16304141,,14.5,"Ballast",,"M",,"Iwagi",,,,"Y","01-Apr-2016",,,,"Iwagi Zosen","Imabari Shipbuilding",,,,,,"Fitted",,,"07-Jun-2021",,4,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 185mm x 280mm bore/stroke 2,424mkW total at 900rpm driving 3 x ac generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 99rpm"
16304291,,,,,"D",,"Saikai",,,"Orix Corporation",,"01-Jan-2019",,,,"Oshima Shipbuilding","Oshima Shipbuilding",,,,,,"Fitted",,,,"ELECTROLYSIS (ELECTRO-CHLORINATION)",,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x ac generator(s) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 108rpm"
16304309,,,,,"D",,"Saikai",,,"Orix Corporation",,"01-Jan-2019",,,,"Oshima Shipbuilding","Oshima Shipbuilding",,,,,,"Fitted",,,,"ELECTROLYSIS (ELECTRO-CHLORINATION)",,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x ac generator(s) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 108rpm"
16304312,,,,,"D",,"Saikai",,,"Meiji Shipping",,"01-Apr-2019",,,,"Oshima Shipbuilding","Oshima Shipbuilding",,,,,,"Fitted",,,,"ELECTROLYSIS (ELECTRO-CHLORINATION)",,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x ac generator(s) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 108rpm"
16304325,,,,,"D",,"Saikai",,,"Union Marine Mgmt",,"01-Nov-2019",,,,"Oshima Shipbuilding","Oshima Shipbuilding",,,,,,"Fitted",,,,"ELECTROLYSIS (ELECTRO-CHLORINATION)",,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x ac generator(s) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 108rpm"
16304338,,,,,"D",,"Saikai",,,,,"01-Mar-2020",,,,"Oshima Shipbuilding","Oshima Shipbuilding",,,,,,"Fitted",,,,"ELECTROLYSIS (ELECTRO-CHLORINATION)",,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x ac generator(s) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 108rpm"
16304341,,,,,"D",,"Saikai",,,,,"01-Sep-2020",,,,"Oshima Shipbuilding","Oshima Shipbuilding",,,,,,"Fitted",,,,"ELECTROLYSIS (ELECTRO-CHLORINATION)",,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x ac generator(s) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 108rpm"
16304462,,14.3,"Service",,"M",,"Nanjing",,,"Qingdao Da Tong",,"01-Jan-2019",,,,"CMJL (Nanjing)","China Merchants",,,,,,"Fitted",,,,"FILTRATION - ELECTROLYSIS (ELECTRO-CHLORINATION) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - 4-stroke  driving 3 x Hyundai Electric HFC6 504-14K - AC generator(s) at 2,100ekW total, (2,625kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 91.50rpm"
16304538,,,,,"M",,"Yangzhou",,,"China COSCO Shipping",,"01-Mar-2015","Y","B",,"CIC (Jiangsu)","CIC (Jiangsu)",,,,,,,,,,,,,"3 x Aux. Diesel Gen. - 4-stroke  driving 3 x Hyundai Electric HFC6 456-64K - AC generator(s) at 1,845ekW total, (2,306kVA total) 450V",,"1 x FP Propeller (Aft Centre) (mechanical), 127rpm"
16304541,,14.9,"Design Speed",,"D",,"Taizhou",,,"Rimorchiato. Riuniti",,"01-Sep-2015",,,,"Jiangsu New YZJ","Yangzijiang Holdings",,,,,,"Fitted",,,"24-Nov-2020","FILTRATION - OXIDATION (ELECTROCATALYSIS) -  ULTRASOUND",,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 185mm x 280mm bore/stroke 2,580mkW total at 900rpm driving 3 x Hyundai Electric HFC7 500-8P - ac generator(s) at 1,800ekW total, (2,363kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical) (Ni-Al Bronze (Cu3)), Changzhou Zhonghai, 90.30rpm"
